"name"	"attr"	"type"
"Dothraki widow 3"	"Dothraki"	"culture"
"Dothraki widow 3"	"Great Stallion"	"religion"
"Dothraki woman having sex (Book of the Stranger)"	"Book of the Stranger"	"appeared in"
"Dothraki woman having sex (Book of the Stranger)"	"Alive"	"status"
"Dothraki woman having sex (Book of the Stranger)"	"Dothraki Sea"	"origin"
"Dothraki woman having sex (Book of the Stranger)"	"Dothraki"	"culture"
"Dothraki woman having sex (Book of the Stranger)"	"Great Stallion"	"religion"
"Drummer"	"Alive"	"status"
"Drummer"	"For hire"	"allegiance"
"Drunk man"	"Lord Snow"	"appeared in"
"Drunk man"	"Alive"	"status"
"Dwarf 1"	"The Lion and the Rose"	"first seen"
"Dwarf 1"	"The"	"last seen"
"Dwarf 1"	"Dead"	"status"
"Dwarf 1"	"Dwarf hunter 2"	"death"
"Dwarf 1"	"For hire"	"allegiance"
"Dwarf 2"	"The Lion and the Rose"	"appeared in"
"Dwarf 2"	"Alive"	"status"
"Dwarf 2"	"For hire"	"allegiance"
"Dwarf 3"	"The Lion and the Rose"	"appeared in"
"Dwarf 3"	"Alive"	"status"
"Dwarf 3"	"For hire"	"allegiance"
"Dwarf 4"	"The Lion and the Rose"	"appeared in"
"Dwarf 4"	"Alive"	"status"
"Dwarf 4"	"For hire"	"allegiance"
"Dwarf 5"	"The Lion and the Rose"	"appeared in"
"Dwarf 5"	"Alive"	"status"
"Dwarf 5"	"For hire"	"allegiance"
"Dwarf hunter 1"	"The"	"appeared in"
"Dwarf hunter 1"	"Alive"	"status"
"Dwarf hunter 2"	"The"	"appeared in"
"Dwarf hunter 2"	"Alive"	"status"
"Dying man"	"Mockingbird"	"appeared in"
"Dying man"	"Dead"	"status"
"Dying man"	"Sandor Clegane"	"death"
"Vardis Egen"	"The Wolf and the Lion"	"first seen"
"Vardis Egen"	"A Golden Crown"	"last seen"
"Vardis Egen"	"Captain of the Guards"	"titles"
"Vardis Egen"	"Dead"	"status"
"Vardis Egen"	"Bronn"	"death"
"Vardis Egen"	"House Egen"	"allegiance"
"Vardis Egen"	"Andal"	"culture"
"Elder slave"	"Oathkeeper"	"first seen"
"Elder slave"	"Alive"	"status"
"Elder slave"	"Meereen"	"origin"
"Elder slave"	"Meereen"	"culture"
"Eyrie guard"	"The"	"appeared in"
"Eyrie guard"	"Alive"	"status"
"Eyrie guard"	"The"	"origin"
"Eyrie guard"	"House Arryn"	"allegiance"
"Eyrie guard"	"Andal"	"culture"
"Faith Militant 1"	"Great"	"status"
"Faith Militant 1"	"Faith Militant"	"allegiance"
"Faith Militant 1"	"Faith of the Seven"	"religion"
"Faith Militant 2"	"Uncertain"	"status"
"Faith Militant 2"	"Faith Militant"	"allegiance"
"Faith Militant 2"	"Faith of the Seven"	"religion"
"Farmer"	"Breaker of Chains"	"appeared in"
"Farmer"	"Alive"	"status"
"Farmer"	"House Tully"	"allegiance"
"Farmer"	"Faith of the Seven"	"religion"
"Fennesz"	"The Children"	"first seen"
"Fennesz"	"Alive"	"status"
"Fennesz"	"Meereen"	"origin"
"Fennesz"	"Meereen"	"culture"
"Fighting pit announcer"	"The"	"appeared in"
"Fighting pit announcer"	"Uncertain"	"status"
"Fighting pit announcer"	"Meereen"	"origin"
"Fighting pit announcer"	"Great Masters"	"allegiance"
"Fighting pit announcer"	"Meereen"	"culture"
"Fighting pit announcer"	"Ghiscari religion"	"religion"
"First Mate"	"The"	"first seen"
"First Mate"	"Alive"	"status"
"First Mate"	"Iron Islands"	"origin"
"First Mate"	"House Greyjoy"	"allegiance"
"First Mate"	"Ironborn"	"culture"
"First Mate"	"Drowned God"	"religion"
"Axell Florent"	"The Lion and the Rose"	"appeared in"
"Axell Florent"	"Lord of Brightwater Keep"	"titles"
"Axell Florent"	"Dead"	"status"
"Axell Florent"	"Melisandre"	"death"
"Axell Florent"	"Brightwater Keep"	"origin"
"Axell Florent"	"House"	"allegiance"
"Axell Florent"	"Andal"	"culture"
"Axell Florent"	"Faith of the Seven"	"religion"
"Axell Florent"	"Imry Florent"	"siblings"
"Jafer Flowers"	"The Pointy End"	"appeared in"
"Jafer Flowers"	"Dead"	"status"
"Jafer Flowers"	"Wight"	"death"
"Jafer Flowers"	"The Reach"	"origin"
"Jafer Flowers"	"White Walkers"	"allegiance"
"Jafer Flowers"	"White Walker"	"culture"
"Foreign merchant"	"Alive"	"status"
"Frances"	"Alive"	"status"
"Frances"	"Qyburn"	"allegiance"
"Frey guard"	"Uncertain"	"status"
"Frey guard"	"House Frey"	"allegiance"
"Frey soldier 1"	"Mhysa"	"appeared in"
"Frey soldier 1"	"Dead"	"status"
"Frey soldier 1"	"Arya Stark"	"death"
"Frey soldier 1"	"House Frey"	"allegiance"
"Derwa Frey"	"Alive"	"status"
"Derwa Frey"	"The Twins"	"origin"
"Derwa Frey"	"House Frey"	"allegiance"
"Derwa Frey"	"Andal"	"culture"
"Derwa Frey"	"Walder Frey"	"father"
"Derwa Frey"	"Kitty Frey"	"mother"
"Derwa Frey"	"Walder Rivers"	"siblings"
"Freya Frey"	"Alive"	"status"
"Freya Frey"	"The Twins"	"origin"
"Freya Frey"	"House Frey"	"allegiance"
"Janeya Frey"	"Alive"	"status"
"Janeya Frey"	"The Twins"	"origin"
"Janeya Frey"	"House Frey"	"allegiance"
"Janeya Frey"	"Andal"	"culture"
"Marianne Frey"	"Alive"	"status"
"Marianne Frey"	"The Twins"	"origin"
"Marianne Frey"	"House Frey"	"allegiance"
"Marianne Frey"	"Andal"	"culture"
"Neyela Frey"	"Alive"	"status"
"Neyela Frey"	"The Twins"	"origin"
"Neyela Frey"	"House Frey"	"allegiance"
"Neyela Frey"	"Andal"	"culture"
"Sarra Frey"	"Alive"	"status"
"Sarra Frey"	"The Twins"	"origin"
"Sarra Frey"	"House Frey"	"allegiance"
"Sarra Frey"	"Andal"	"culture"
"Serra Frey"	"Alive"	"status"
"Serra Frey"	"The Twins"	"origin"
"Serra Frey"	"House Frey"	"allegiance"
"Serra Frey"	"Andal"	"culture"
"Shirei Frey"	"Alive"	"status"
"Shirei Frey"	"The Twins"	"origin"
"Shirei Frey"	"House Frey"	"allegiance"
"Shirei Frey"	"Andal"	"culture"
"Shirei Frey"	"Walder Frey"	"father"
"Shirei Frey"	"Black Walder Rivers"	"siblings"
"Stevron Frey"	"Baelor"	"appeared in"
"Stevron Frey"	"Ser"	"titles"
"Stevron Frey"	"Uncertain"	"status"
"Stevron Frey"	"The Twins"	"origin"
"Stevron Frey"	"House Frey"	"allegiance"
"Stevron Frey"	"Andal"	"culture"
"Stevron Frey"	"Walder Frey"	"father"
"Stevron Frey"	"Ryger Rivers"	"siblings"
"Walda Frey "	"Alive"	"status"
"Walda Frey "	"The Twins"	"origin"
"Walda Frey "	"House Frey"	"allegiance"
"Walda Frey "	"Andal"	"culture"
"Walda Frey "	"Walder Frey"	"father"
"Walda Frey "	"Kitty Frey"	"mother"
"Walda Frey "	"Black Walder Rivers"	"siblings"
"Waldra Frey"	"Alive"	"status"
"Waldra Frey"	"The Twins"	"origin"
"Waldra Frey"	"House Frey"	"allegiance"
"Waldra Frey"	"Andal"	"culture"
"Waldra Frey"	"Walder Frey"	"father"
"Waldra Frey"	"Kitty Frey"	"mother"
"Waldra Frey"	"Walder Rivers"	"siblings"
"Fruit vendor"	"Mhysa"	"appeared in"
"Fruit vendor"	"Alive"	"status"
"Fruit vendor"	"King's Landing"	"origin"
"Fury gunnery officer"	"The"	"appeared in"
"Fury gunnery officer"	"Dead"	"status"
"Fury gunnery officer"	"House"	"allegiance"
"Gared"	"Ranger"	"titles"
"Gared"	"Dead"	"status"
"Gared"	"White Walkers"	"death"
"Gared"	"Castle Black"	"origin"
"Gared"	"Night's Watch"	"allegiance"
"Genna"	"Walk of Punishment"	"first seen"
"Genna"	"Alive"	"status"
"Genna"	"Petyr Baelish"	"allegiance"
"Gerald"	"What is Dead May Never Die"	"appeared in"
"Gerald"	"Alive"	"status"
"Gerald"	"Renly Baratheon"	"allegiance"
"Prendahl na Ghezn"	"Dead"	"status"
"Prendahl na Ghezn"	"Daario Naharis"	"death"
"Prendahl na Ghezn"	"Essos"	"origin"
"Prendahl na Ghezn"	"Second Sons (mercenary company)"	"allegiance"
"Ghita"	"Unbowed, Unbent, Unbroken"	"first seen"
"Ghita"	"Mother's Mercy"	"last seen"
"Ghita"	"Dead"	"status"
"Ghita"	"House of Black and White"	"death"
"Ghita"	"Braavos"	"origin"
"Ghita"	"Braavos"	"culture"
"Ghita"	"Many-Faced God"	"religion"
"Gladiator"	"Alive"	"status"
"Goatherd (The Children)"	"The Children"	"appeared in"
"Goatherd (The Children)"	"Alive"	"status"
"Goatherd (The Children)"	"Meereen"	"origin"
"Goatherd (The Children)"	"Meereen"	"culture"
"Goatherd (The Children)"	"Ghiscari religion"	"religion"
"Goatherd (The Children)"	"Zalla"	"children"
"Goatherd "	"The"	"first seen"
"Goatherd "	"Alive"	"status"
"Goatherd "	"Meereen"	"origin"
"Goatherd "	"Meereen"	"culture"
"Goatherd's son"	"The"	"first seen"
"Goatherd's son"	"Alive"	"status"
"Goatherd's son"	"Meereen"	"origin"
"Goatherd's son"	"Meereen"	"culture"
"Goldcloak 1 (Lord Snow)"	"Lord Snow"	"appeared in"
"Goldcloak 1 (Lord Snow)"	"Alive"	"status"
"Goldcloak 1 (Lord Snow)"	"City Watch"	"allegiance"
"Goldcloak 1 (The Wolf and the Lion)"	"The Wolf and the Lion"	"appeared in"
"Goldcloak 1 (The Wolf and the Lion)"	"Alive"	"status"
"Goldcloak 1 (The Wolf and the Lion)"	"City Watch"	"allegiance"
"Goldcloak 2 (Lord Snow)"	"Lord Snow"	"appeared in"
"Goldcloak 2 (Lord Snow)"	"Alive"	"status"
"Goldcloak 2 (Lord Snow)"	"City Watch"	"allegiance"
"Gordy"	"Mother's Mercy"	"appeared in"
"Gordy"	"Dead"	"status"
"Gordy"	"Stannis Baratheon"	"death"
"Gordy"	"House Bolton"	"allegiance"
"Gordy"	"Northmen"	"culture"
"Great Master 1 (Breaker of Chains)"	"Breaker of Chains"	"first seen"
"Great Master 1 (Breaker of Chains)"	"Oathkeeper"	"last seen"
"Great Master 1 (Breaker of Chains)"	"Dead"	"status"
"Great Master 1 (Breaker of Chains)"	"Stabbed by uprising slaves"	"death"
"Great Master 1 (Breaker of Chains)"	"Meereen"	"origin"
"Great Master 1 (Breaker of Chains)"	"Great Masters"	"allegiance"
"Great Master 1 (Breaker of Chains)"	"Meereen"	"culture"
"Great Master 1 (Kill the Boy)"	"Kill the Boy"	"appeared in"
"Great Master 1 (Kill the Boy)"	"Dead"	"status"
"Great Master 1 (Kill the Boy)"	"Viserion"	"death"
"Great Master 1 (Kill the Boy)"	"Meereen"	"origin"
"Great Master 1 (Kill the Boy)"	"Great Masters"	"allegiance"
"Great Master 1 (Kill the Boy)"	"Meereen"	"culture"
"Great Master 2 (Breaker of Chains)"	"Breaker of Chains"	"first seen"
"Great Master 2 (Breaker of Chains)"	"Dead"	"status"
"Great Master 2 (Breaker of Chains)"	"Meereen"	"origin"
"Great Master 2 (Breaker of Chains)"	"Great Masters"	"allegiance"
"Great Master 2 (Breaker of Chains)"	"Meereen"	"culture"
"Great Master 2 (Kill the Boy)"	"Kill the Boy"	"appeared in"
"Great Master 2 (Kill the Boy)"	"Alive"	"status"
"Great Master 2 (Kill the Boy)"	"Meereen"	"origin"
"Great Master 2 (Kill the Boy)"	"Great Masters"	"allegiance"
"Great Master 2 (Kill the Boy)"	"Ghiscari"	"culture"
"Guymon"	"Breaker of Chains"	"appeared in"
"Guymon"	"Dead"	"status"
"Guymon"	"Ygritte"	"death"
"Guymon"	"The Gift"	"origin"
"Guymon"	"Northmen"	"culture"
"Guymon"	"Olly's mother"	"spouse"
"Guymon"	"Olly"	"children"
"Masha Heddle"	"Cripples, Bastards and Broken Things"	"appeared in"
"Masha Heddle"	"Alive"	"status"
"Melara Hetherspoon"	"The Wars to Come"	"appeared in"
"Melara Hetherspoon"	"House Hetherspoon"	"allegiance"
"Heward"	"The Wolf and the Lion"	"appeared in"
"Heward"	"Dead"	"status"
"Heward"	"House Lannister"	"death"
"Heward"	"Winterfell"	"origin"
"Heward"	"House Stark"	"allegiance"
"Heward"	"Northmen"	"culture"
"High Septon (Before the"	"Baelor"	"first seen"
"High Septon (Before the"	"The Old Gods and the New"	"last seen"
"High Septon (Before the"	"High Septon (title)"	"titles"
"High Septon (Before the"	"Dead"	"status"
"High Septon (Before the"	"King's Landing"	"death"
"High Septon (Before the"	"Faith of the Seven"	"allegiance"
"High Septon (Before the"	"Riot of King's Landing"	"successor"
"Gerold Hightower"	"Greensight"	"appeared in"
"Gerold Hightower"	"Two Swords"	"mentioned in"
"Gerold Hightower"	"Lord"	"titles"
"Gerold Hightower"	"Dead"	"status"
"Gerold Hightower"	"Eddard Stark"	"death"
"Gerold Hightower"	"The Hightower"	"origin"
"Gerold Hightower"	"House Hightower"	"allegiance"
"Gerold Hightower"	"Duncan the Tall"	"predecessor"
"Gerold Hightower"	"Barristan Selmy"	"successor"
"Gerold Hightower"	"Andal"	"culture"
"Gerold Hightower"	"Faith of the Seven"	"religion"
"Hizdahr zo Loraq's manservant"	"Breaker of Chains"	"first seen"
"Hizdahr zo Loraq's manservant"	"Alive"	"status"
"Hizdahr zo Loraq's manservant"	"Meereen"	"origin"
"Hizdahr zo Loraq's manservant"	"House of Loraq"	"allegiance"
"Hizdahr zo Loraq's manservant"	"Meereen"	"culture"
"Hobb"	"The Watchers on the Wall"	"first seen"
"Hobb"	"Mockingbird"	"mentioned in"
"Hobb"	"Alive"	"status"
"Hobb"	"White Harbor"	"origin"
"Hobb"	"Night's Watch"	"allegiance"
"Hog farmer"	"Alive"	"status"
"Howland Reed"	"Oathbreaker"	"appeared in"
"Howland Reed"	"Dark Wings, Dark Words"	"mentioned in"
"Howland Reed"	"Lord of Greywater Watch"	"titles"
"Howland Reed"	"Alive"	"status"
"Howland Reed"	"Greywater Watch"	"origin"
"Howland Reed"	"House Stark"	"allegiance"
"Howland Reed"	"Crannogmen"	"culture"
"Howland Reed"	"Old"	"religion"
"Howland Reed"	"Jojen Reed"	"children"
"Hugh (Telltale)"	"The Sword in the Darkness"	"first seen"
"Hugh (Telltale)"	"The Sword in the Darkness"	"last seen"
"Hugh (Telltale)"	"Ranger"	"titles"
"Hugh (Telltale)"	"Uncertain"	"status"
"Hugh (Telltale)"	"Night's Watch"	"allegiance"
"Adrack Humble"	"The Mountain and the Viper"	"appeared in"
"Adrack Humble"	"Dead"	"status"
"Adrack Humble"	"Ramsay Snow"	"death"
"Adrack Humble"	"Iron Islands"	"origin"
"Adrack Humble"	"House Humble"	"allegiance"
"Adrack Humble"	"Ironborn"	"culture"
"Adrack Humble"	"Drowned God"	"religion"
"Eon Hunter"	"A Golden Crown"	"appeared in"
"Eon Hunter"	"Lord of Longbow Hall"	"titles"
"Eon Hunter"	"Alive"	"status"
"Eon Hunter"	"Longbow Hall (page does not exist)"	"origin"
"Eon Hunter"	"House Hunter"	"allegiance"
"Eon Hunter"	"Andal"	"culture"
"Iggo"	"Book of the Stranger"	"appeared in"
"Iggo"	"Dead"	"status"
"Iggo"	"Daario Naharis"	"death"
"Iggo"	"Dothraki Sea"	"origin"
"Iggo"	"Dothraki"	"culture"
"Iggo"	"Great Stallion"	"religion"
"Inn waitress"	"The"	"appeared in"
"Inn waitress"	"Alive"	"status"
"Inn waitress"	"The"	"origin"
"Innkeeper"	"Two Swords"	"appeared in"
"Innkeeper"	"Alive"	"status"
"Innkeeper's daughter"	"Two Swords"	"appeared in"
"Innkeeper's daughter"	"Alive"	"status"
"Ironborn 2 (The Door)"	"The Door"	"first seen"
"Ironborn 2 (The Door)"	"Alive"	"status"
"Ironborn 2 (The Door)"	"Iron Islands"	"origin"
"Ironborn 2 (The Door)"	"Euron Greyjoy"	"allegiance"
"Ironborn 2 (The Door)"	"Drowned God"	"religion"
"Ironborn in skiff"	"The"	"first seen"
"Ironborn in skiff"	"Alive"	"status"
"Ironborn in skiff"	"Iron Islands"	"origin"
"Ironborn in skiff"	"House Greyjoy"	"allegiance"
"Ironborn in skiff"	"Ironborn"	"culture"
"Ironborn in skiff"	"Drowned God"	"religion"
"Jhiqui"	"The Kingsroad"	"appeared in"
"Jhiqui"	"Uncertain"	"status"
"Jhiqui"	"Dothraki sea"	"origin"
"Jhiqui"	"Drogo"	"allegiance"
"Jhiqui"	"Dothraki"	"culture"
"Jhiqui"	"Great Stallion"	"religion"
"Joby"	"You Win or You Die"	"mentioned in"
"Joby"	"Alive"	"status"
"Joby"	"Night's Watch"	"allegiance"
"Joss (A Golden Crown)"	"A Golden Crown"	"appeared in"
"Joss (A Golden Crown)"	"Alive"	"status"
"Joss (A Golden Crown)"	"House Tully"	"allegiance"
"Karsi"	"Dead"	"status"
"Karsi"	"Wights"	"death"
"Karsi"	"White Walkers"	"allegiance"
"Karsi"	"Wight"	"culture"
"Karsi"	"Old"	"religion"
"Karsi"	"Willa"	"children"
"Karstark soldier 1"	"A Man Without Honor"	"appeared in"
"Karstark soldier 1"	"Alive"	"status"
"Karstark soldier 1"	"House Karstark"	"allegiance"
"Karstark soldier 1"	"Northmen"	"culture"
"Karstark soldier 2"	"A Man Without Honor"	"appeared in"
"Karstark soldier 2"	"Alive"	"status"
"Karstark soldier 2"	"House Karstark"	"allegiance"
"Karstark soldier 2"	"Northmen"	"culture"
"Torrhen Karstark"	"A Man Without Honor"	"appeared in"
"Torrhen Karstark"	"Kissed by Fire"	"mentioned in"
"Torrhen Karstark"	"Dead"	"status"
"Torrhen Karstark"	"Jaime Lannister"	"death"
"Torrhen Karstark"	"Karhold"	"origin"
"Torrhen Karstark"	"House Stark"	"allegiance"
"Torrhen Karstark"	"Northmen"	"culture"
"Torrhen Karstark"	"Rickard Karstark"	"father"
"Torrhen Karstark"	"Alys Karstark"	"siblings"
"Kegs"	"The Mountain and the Viper"	"appeared in"
"Kegs"	"Dead"	"status"
"Kegs"	"Wildlings"	"death"
"Kegs"	"Night's Watch"	"allegiance"
"King's Landing boaster"	"Home"	"appeared in"
"King's Landing boaster"	"Dead"	"status"
"King's Landing boaster"	"Gregor Clegane"	"death"
"King's Landing boaster"	"King's Landing"	"origin"
"King's Landing drunkard"	"Mother's Mercy"	"appeared in"
"King's Landing drunkard"	"Alive"	"status"
"King's Landing drunkard"	"King's Landing"	"origin"
"King's Landing flasher"	"Mother's Mercy"	"appeared in"
"King's Landing flasher"	"Alive"	"status"
"King's Landing flasher"	"King's Landing"	"origin"
"King's Landing rioter 2"	"The Old Gods and the New"	"appeared in"
"King's Landing rioter 2"	"Alive"	"status"
"King's Landing rioter 3"	"The Old Gods and the New"	"appeared in"
"King's Landing rioter 3"	"Uncertain"	"status"
"King's Landing tailor"	"Dark Wings, Dark Words"	"appeared in"
"King's Landing tailor"	"Alive"	"status"
"King's Landing tailor"	"House"	"allegiance"
"King's Landing whore (Lord Snow)"	"Lord Snow"	"first seen"
"King's Landing whore (Lord Snow)"	"The Wolf and the Lion"	"last seen"
"King's Landing whore (Lord Snow)"	"Alive"	"status"
"King's Landing whore (Lord Snow)"	"Petyr Baelish"	"allegiance"
"King's Landing whore (Mother's Mercy)"	"Mother's Mercy"	"appeared in"
"King's Landing whore (Mother's Mercy)"	"Alive"	"status"
"King's Landing whore (Mother's Mercy)"	"King's Landing"	"origin"
"Kitty Frey"	"Blood of My Blood"	"first seen"
"Kitty Frey"	"Lady"	"titles"
"Kitty Frey"	"Alive"	"status"
"Kitty Frey"	"House Frey"	"allegiance"
"Kitty Frey"	"Andal"	"culture"
"Kitty Frey"	"Faith of the Seven"	"religion"
"Kitty Frey"	"Walder Frey"	"spouse"
"Kitty Frey"	"Waldron Frey"	"children"
"Kullback"	"The Children"	"appeared in"
"Kullback"	"Alive"	"status"
"Kullback"	"Free Folk"	"allegiance"
"Kullback"	"Free Folk"	"culture"
"Lannister guard 2"	"The"	"appeared in"
"Lannister guard 2"	"Alive"	"status"
"Lannister guard 2"	"House Lannister"	"allegiance"
"Lannister guardsman (Garden of Bones)"	"Garden of Bones"	"appeared in"
"Lannister guardsman (Garden of Bones)"	"Dead"	"status"
"Lannister guardsman (Garden of Bones)"	"Grey Wind"	"death"
"Lannister guardsman (Garden of Bones)"	"House Lannister"	"allegiance"
"Lannister guardsman (The Kingsroad)"	"The Kingsroad"	"appeared in"
"Lannister guardsman (The Kingsroad)"	"Alive"	"status"
"Lannister guardsman (The Kingsroad)"	"House Lannister"	"allegiance"
"Lannister messenger"	"The Pointy End"	"appeared in"
"Lannister messenger"	"Alive"	"status"
"Lannister messenger"	"House Lannister"	"allegiance"
"Lannister scout"	"The Pointy End"	"appeared in"
"Lannister scout"	"Alive"	"status"
"Lannister scout"	"House Lannister"	"allegiance"
"Lannister soldier "	"The"	"appeared in"
"Lannister soldier "	"Alive"	"status"
"Lannister soldier "	"House Lannister"	"allegiance"
"Lannister torturer"	"The"	"appeared in"
"Lannister torturer"	"Alive"	"status"
"Lannister torturer"	"House Lannister"	"allegiance"
"Lead Dornish guard"	"Dead"	"status"
"Lead Dornish guard"	"Bronn"	"death"
"Lead Dornish guard"	"Dorne"	"origin"
"Lead Dornish guard"	"House Martell"	"allegiance"
"Lead Dornish guard"	"Dornishmen"	"culture"
"Lead Kingsguard"	"Alive"	"status"
"Lead Kingsguard"	"Kingsguard"	"allegiance"
"Lem"	"The Broken Man"	"first seen"
"Lem"	"No One"	"last seen"
"Lem"	"Lem Lemoncloak"	"also known as"
"Lem"	"Dead"	"status"
"Lem"	"Sandor Clegane"	"death"
"Lem"	"Brotherhood without Banners"	"allegiance"
"Lem"	"R'hllor"	"religion"
"Duncan Liddle"	"Alive"	"status"
"Duncan Liddle"	"Night's Watch"	"allegiance"
"Little Bird (The Mountain and the Viper)"	"The Mountain and the Viper"	"appeared in"
"Little Bird (The Mountain and the Viper)"	"Alive"	"status"
"Little Bird (The Mountain and the Viper)"	"Meereen"	"origin"
"Little Bird (The Mountain and the Viper)"	"Varys"	"allegiance"
"Little Bird (The Mountain and the Viper)"	"Meereen"	"culture"
"Little Bird (You Win or You Die)"	"You Win or You Die"	"appeared in"
"Little Bird (You Win or You Die)"	"Alive"	"status"
"Little Bird (You Win or You Die)"	"Varys"	"allegiance"
"Little birds"	"Active"	"status"
"Little birds"	"Spies"	"type"
"Little birds"	"Qyburn"	"allegiance"
"Little birds"	"Cersei Lannister"	"leader"
"Little birds"	"Frances"	"notable members"
"Little birds"	"The known world"	"center"
"Loboda"	"Dead"	"status"
"Loboda"	"White Walker (Hardhome)"	"death"
"Loboda"	"Thenn"	"allegiance"
"Loboda"	"Thenn"	"culture"
"Loboda"	"Old"	"religion"
"Lobor"	"The Sword in the Darkness"	"first seen"
"Lobor"	"The Sword in the Darkness"	"last seen"
"Lobor"	"Steward (Night's Watch)"	"titles"
"Lobor"	"Uncertain"	"status"
"Lobor"	"Night's Watch"	"allegiance"
"Lordsport dockhand"	"The Night Lands"	"appeared in"
"Lordsport dockhand"	"Alive"	"status"
"Lordsport dockhand"	"Pyke"	"origin"
"Lordsport dockhand"	"Ironborn"	"culture"
"Lowell"	"Two Swords"	"appeared in"
"Lowell"	"Dead"	"status"
"Lowell"	"Sandor Clegane"	"death"
"Lowell"	"House Lannister"	"allegiance"
"Loyal Night's Watch man 1"	"The Red Woman"	"first seen"
"Loyal Night's Watch man 1"	"Alive"	"status"
"Loyal Night's Watch man 1"	"Night's Watch"	"allegiance"
"Loyal Night's Watch man 2"	"The Red Woman"	"first seen"
"Loyal Night's Watch man 2"	"Alive"	"status"
"Loyal Night's Watch man 2"	"Night's Watch"	"allegiance"
"Jon Lynderly"	"A Golden Crown"	"appeared in"
"Jon Lynderly"	"Ser"	"titles"
"Jon Lynderly"	"Alive"	"status"
"Jon Lynderly"	"Snakewood (page does not exist)"	"origin"
"Jon Lynderly"	"House Lynderly"	"allegiance"
"Jon Lynderly"	"Andal"	"culture"
"Mag Mar Tun Doh Weg"	"The Watchers on the Wall"	"appeared in"
"Mag Mar Tun Doh Weg"	"Mag the Mighty"	"also known as"
"Mag Mar Tun Doh Weg"	"Dead"	"status"
"Mag Mar Tun Doh Weg"	"Night's Watch"	"death"
"Mag Mar Tun Doh Weg"	"Beyond the Wall"	"origin"
"Mag Mar Tun Doh Weg"	"Free Folk"	"allegiance"
"Mag Mar Tun Doh Weg"	"Giants"	"culture"
"Malcolm"	"Mhysa"	"mentioned in"
"Malcolm"	"Alive"	"status"
"Malcolm"	"House Frey"	"allegiance"
"Male prostitute"	"The North Remembers"	"first seen"
"Male prostitute"	"The Night Lands"	"last seen"
"Male prostitute"	"Alive"	"status"
"Male prostitute"	"Petyr Baelish"	"allegiance"
"Denys Mallister"	"The"	"appeared in"
"Denys Mallister"	"The Wars to Come"	"mentioned in"
"Denys Mallister"	"Ser"	"titles"
"Denys Mallister"	"Alive"	"status"
"Denys Mallister"	"Seagard"	"origin"
"Denys Mallister"	"Night's Watch"	"allegiance"
"Denys Mallister"	"Andal"	"culture"
"Wendel Manderly"	"The"	"mentioned in"
"Wendel Manderly"	"Knighthood"	"titles"
"Wendel Manderly"	"Dead"	"status"
"Wendel Manderly"	"Red Wedding"	"death"
"Wendel Manderly"	"White Harbor"	"origin"
"Wendel Manderly"	"House Stark"	"allegiance"
"Wendel Manderly"	"Northmen"	"culture"
"Wendel Manderly"	"Faith of the Seven"	"religion"
"Addam Marbrand"	"Fire and Blood"	"appeared in"
"Addam Marbrand"	"The Pointy End"	"mentioned in"
"Addam Marbrand"	"Knight"	"titles"
"Addam Marbrand"	"Alive"	"status"
"Addam Marbrand"	"Ashemark"	"origin"
"Addam Marbrand"	"House Marbrand"	"allegiance"
"Addam Marbrand"	"Andal"	"culture"
"Addam Marbrand"	"Faith of the Seven"	"religion"
"Margaery's handmaiden"	"Valar Dohaeris"	"appeared in"
"Margaery's handmaiden"	"Great"	"status"
"Margaery's handmaiden"	"House Tyrell"	"allegiance"
"Master Torturer"	"Dark Wings, Dark Words"	"first seen"
"Master Torturer"	"Walk of Punishment"	"last seen"
"Master Torturer"	"Dead"	"status"
"Master Torturer"	"Ramsay Bolton"	"death"
"Master Torturer"	"House Bolton"	"allegiance"
"Master Torturer"	"Northmen"	"culture"
"Meereenese homeless mother"	"The Red Woman"	"appeared in"
"Meereenese homeless mother"	"Alive"	"status"
"Meereenese homeless mother"	"Meereen"	"origin"
"Meereenese homeless mother"	"Meereen"	"culture"
"Meereenese homeless mother"	"Ghiscari religion"	"religion"
"Meereenese homeless mother"	"Son"	"children"
"Merchant captain"	"Dead"	"status"
"Merchant captain"	"Obara Sand"	"death"
"Merchant captain"	"Pentos"	"origin"
"Merchant captain"	"Pentos"	"culture"
"Mero"	"The Titan's Bastard"	"also known as"
"Mero"	"Dead"	"status"
"Mero"	"Daario Naharis"	"death"
"Mero"	"Braavos"	"origin"
"Mero"	"Second Sons (mercenary company)"	"allegiance"
"Mero"	"Braavos"	"culture"
"Mirelle"	"Valar Dohaeris"	"appeared in"
"Mirelle"	"Alive"	"status"
"Moelle"	"Uncertain"	"status"
"Moelle"	"Most Devout"	"allegiance"
"Moelle"	"Faith of the Seven"	"religion"
"Mole's Town madam"	"Breaker of Chains"	"first seen"
"Mole's Town madam"	"Uncertain"	"status"
"Mole's Town madam"	"Northmen"	"culture"
"Morgan (Two Swords)"	"Two Swords"	"appeared in"
"Morgan (Two Swords)"	"Alive"	"status"
"Morgan (Two Swords)"	"House Lannister"	"allegiance"
"Morgan's friend"	"Two Swords"	"appeared in"
"Morgan's friend"	"Alive"	"status"
"Morgan's friend"	"House Lannister"	"allegiance"
"Moro's bloodrider 1"	"The Red Woman"	"first seen"
